id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
26751,WADD,large_airport,"Denpasar I Gusti Ngurah Rai International Airport",-8.748409,115.167123,14,AS,Indonesia,ID,Bali,ID-BA,BA,"Kuta, Badung",1,WADD,WADD,DPS,,http://www.angkasapura1.co.id/eng/location/bali.htm,https://en.wikipedia.org/wiki/Ngurah_Rai_International_Airport,"WRRR, Bali, Denpasar International Airport, Denpasar",1200,2025-02-21T20:46:40+00:00
26835,WIII,large_airport,"Soekarno-Hatta International Airport",-6.12557,106.655998,34,AS,Indonesia,ID,Banten,ID-BT,BT,Jakarta,1,WIII,WIII,CGK,,http://www.jakartasoekarnohattaairport.com/,https://en.wikipedia.org/wiki/Soekarno-Hatta_International_Airport,"JKT, Cengkareng, Java",51600,2025-10-02T21:14:33+00:00
26789,WARR,large_airport,"Juanda International Airport",-7.37983,112.787003,9,AS,Indonesia,ID,"Jawa Timur (East Java)",ID-JI,JI,Surabaya,1,WARR,WARR,SUB,,http://www.juanda-airport.com/,https://en.wikipedia.org/wiki/Juanda_International_Airport,"WRSJ, Sedati, Sidoarjo",51150,2025-03-04T07:32:09+00:00
26787,WARJ,medium_airport,"Adisutjipto Airport",-7.78818,110.431999,379,AS,Indonesia,ID,Yogyakarta,ID-YO,YO,Yogyakarta,1,WAHH,WAHH,JOG,,http://adisutjipto-airport.co.id/,https://en.wikipedia.org/wiki/Adisutjipto_Airport,"WIIJ, WARJ, Adisucipto",500,2025-06-10T14:42:21+00:00
299629,WADL,medium_airport,"Lombok International Airport",-8.759962,116.278169,319,AS,Indonesia,ID,"Nusa Tenggara Barat (West Nusa Tenggara)",ID-NB,NB,"Mataram (Pujut, Lombok Tengah)",1,WADL,WADL,LOP,,http://www.lombok-airport.co.id/,https://en.wikipedia.org/wiki/Lombok_International_Airport,"Zainuddin Abdul Madjid, Praya",500,2025-02-21T23:53:28+00:00
26832,WIHH,medium_airport,"Halim Perdanakusuma International Airport",-6.266610145568848,106.89099884033203,84,AS,Indonesia,ID,"Jakarta Raya",ID-JK,JK,Jakarta,1,WIHH,WIHH,HLP,,http://www.angkasapura2.co.id/cabang/hlp/content.php?menu=8&page_id=1,https://en.wikipedia.org/wiki/Halim_Perdanakusuma_International_Airport,"WIIH,WIIX,WIID",575,2009-01-02T09:06:01+00:00
26745,WAAA,large_airport,"Hasanuddin International Airport",-5.06163,119.554001,47,AS,Indonesia,ID,"Sulawesi Selatan (South Sulawesi)",ID-SN,SN,"Ujung Pandang",1,WAAA,WAAA,UPG,,,https://en.wikipedia.org/wiki/Hasanuddin_International_Airport,,1275,2022-09-19T16:31:03+00:00
309577,WIMM,large_airport,"Kualanamu International Airport",3.637847,98.870566,23,AS,Indonesia,ID,"Sumatera Utara (North Sumatra)",ID-SU,SU,Beringin,1,WIMM,WIMM,KNO,,http://www.kualanamu-airport.co.id/,https://en.wikipedia.org/wiki/Kualanamu_International_Airport,Medan,1000,2025-03-13T08:28:01+00:00
26839,WIMK,medium_airport,"Soewondo Air Force Base",3.558425,98.672275,114,AS,Indonesia,ID,"Sumatera Utara (North Sumatra)",ID-SU,SU,Medan,0,WIMK,WIMK,MES,,,https://en.wikipedia.org/wiki/Soewondo_Air_Force_Base,"Polonia International Airport, WIMM",750,2022-10-01T23:15:12+00:00
26770,WAMM,medium_airport,"Sam Ratulangi Airport",1.549266,124.926319,264,AS,Indonesia,ID,"Sulawesi Utara (North Sulawesi)",ID-SA,SA,Manado,1,WAMM,WAMM,MDC,,,https://en.wikipedia.org/wiki/Sam_Ratulangi_Airport,,750,2025-02-21T20:52:49+00:00
26755,WAJJ,large_airport,"Dortheys Hiyo Eluay International Airport",-2.579627,140.519857,289,AS,Indonesia,ID,Papua,ID-PA,PA,Sentani,1,WAJJ,WAJJ,DJJ,,https://sentani-airport.co.id/en,https://en.wikipedia.org/wiki/Dortheys_Hiyo_Eluay_International_Airport,"Bandar Udara Internasional Dortheys Hiyo Eluay, Sentani International Airport, Hollandia, Jayapura",1025,2025-06-16T17:29:56+00:00
26788,WARQ,medium_airport,"Adisumarmo Airport",-7.516044,110.757492,421,AS,Indonesia,ID,"Jawa Tengah (Central Java)",ID-JT,JT,Surakarta,1,WAHQ,WAHQ,SOC,,https://adisumarmo-airport.com/en,https://en.wikipedia.org/wiki/Adisumarmo_Airport,"WRSQ, WARQ, Adi Soemarmo, Adi Sumarmo",500,2025-06-10T14:42:56+00:00
26824,WICC,medium_airport,"Husein Sastranegara International Airport",-6.90063,107.575996,2436,AS,Indonesia,ID,"Jawa Barat (West Java)",ID-JB,JB,Bandung,1,WICC,WICC,BDO,,,https://en.wikipedia.org/wiki/Husein_Sastranegara_International_Airport,WIIB,750,2022-10-01T23:17:15+00:00
26855,WIPP,medium_airport,"Sultan Mahmud Badaruddin II Airport",-2.897653,104.698147,49,AS,Indonesia,ID,"Sumatera Selatan (South Sumatra)",ID-SS,SS,Palembang,1,WIPP,WIPP,PLM,,,https://en.wikipedia.org/wiki/Sultan_Mahmud_Badaruddin_II_Airport,,750,2025-08-03T20:23:54+00:00
26790,WARS,medium_airport,"Achmad Yani Airport",-6.970732,110.373244,10,AS,Indonesia,ID,"Jawa Tengah (Central Java)",ID-JT,JT,Semarang,1,WAHS,WAHS,SRG,,https://www.ahmadyani-airport.com/id,https://en.wikipedia.org/wiki/Achmad_Yani_Airport,"WIIS, WARS",500,2025-06-10T14:43:26+00:00
